,playerID,yearID,round,teamID,lgID,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP
44,clarkjo01,1892,CS,CL4,NL,1.0,50.0,15.0,26.0,26.0,1.0,1.0,52.0,38.0,39.0,21.0,16.0,26.0,,,,,,,,1.0,45.0,,,
45,cuppyni01,1892,CS,CL4,NL,1.0,26.0,1.0,13.0,13.0,1.0,1.0,25.0,10.0,5.0,21.0,13.0,4.0,,,,,,,,1.0,12.0,,,
46,nichoki01,1892,CS,BSN,NL,50.0,1.0,15.0,26.0,26.0,34.0,1.0,55.0,27.0,9.0,1.0,13.0,38.0,,,,,,,,1.0,9.0,,,
47,staleha01,1892,CS,BSN,NL,26.0,1.0,1.0,13.0,13.0,1.0,1.0,28.0,16.0,12.0,1.0,4.0,1.0,,,,,,,,1.0,9.0,,,
48,stiveja01,1892,CS,BSN,NL,50.0,1.0,29.0,38.0,38.0,34.0,1.0,88.0,33.0,12.0,21.0,23.0,49.0,,,,,,,,1.0,26.0,,,
49,youngcy01,1892,CS,CL4,NL,1.0,50.0,29.0,38.0,38.0,34.0,1.0,82.0,41.0,35.0,21.0,10.0,26.0,,,,,,,,1.0,31.0,,,
50,dinnebi01,1903,WS,BOS,AL,75.0,26.0,43.0,50.0,50.0,67.0,1.0,106.0,46.0,31.0,1.0,26.0,80.0,24.0,,1.0,1.0,1.0,1.0,134.0,1.0,23.0,1.0,1.0,1.0
51,hugheto01,1903,WS,BOS,AL,1.0,26.0,1.0,13.0,1.0,1.0,1.0,7.0,7.0,9.0,1.0,7.0,1.0,41.0,,1.0,1.0,1.0,1.0,13.0,1.0,9.0,1.0,1.0,1.0
52,kennebr01,1903,WS,PIT,NL,1.0,26.0,1.0,13.0,1.0,1.0,1.0,22.0,16.0,16.0,1.0,10.0,9.0,30.0,,1.0,1.0,1.0,1.0,39.0,1.0,28.0,15.0,1.0,1.0
53,leevesa01,1903,WS,PIT,NL,1.0,50.0,15.0,26.0,13.0,1.0,1.0,31.0,21.0,24.0,21.0,10.0,7.0,30.0,,1.0,1.0,26.0,1.0,49.0,1.0,23.0,1.0,1.0,18.0
54,phillde01,1903,WS,PIT,NL,75.0,50.0,58.0,63.0,63.0,1.0,1.0,132.0,60.0,58.0,1.0,10.0,63.0,23.0,,1.0,21.0,26.0,1.0,178.0,1.0,53.0,43.0,1.0,18.0
55,thompgu01,1903,WS,PIT,NL,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,6.0,5.0,1.0,1.0,4.0,34.0,,1.0,1.0,1.0,1.0,10.0,18.0,4.0,1.0,1.0,1.0
56,veilbu01,1903,WS,PIT,NL,1.0,1.0,1.0,1.0,1.0,1.0,1.0,22.0,9.0,5.0,21.0,16.0,4.0,22.0,,1.0,1.0,26.0,1.0,32.0,18.0,4.0,29.0,1.0,34.0
57,youngcy01,1903,WS,BOS,AL,50.0,26.0,43.0,38.0,38.0,1.0,1.0,103.0,49.0,28.0,21.0,13.0,49.0,24.0,,1.0,1.0,26.0,1.0,142.0,18.0,37.0,43.0,1.0,18.0
58,amesre01,1905,WS,NY1,NL,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,1.0,1.0,4.0,4.0,26.0,,1.0,1.0,1.0,1.0,6.0,18.0,1.0,1.0,1.0,1.0
59,bendech01,1905,WS,PHA,AL,26.0,26.0,15.0,26.0,26.0,34.0,1.0,52.0,15.0,9.0,1.0,20.0,38.0,17.0,,1.0,1.0,1.0,1.0,65.0,1.0,6.0,29.0,1.0,1.0
60,coaklan01,1905,WS,PHA,AL,1.0,26.0,1.0,13.0,13.0,1.0,1.0,28.0,15.0,12.0,1.0,16.0,7.0,27.0,,26.0,1.0,26.0,1.0,41.0,1.0,26.0,1.0,1.0,18.0
61,mathech01,1905,WS,NY1,NL,75.0,1.0,29.0,38.0,38.0,100.0,1.0,82.0,21.0,1.0,1.0,4.0,52.0,15.0,,1.0,21.0,26.0,1.0,94.0,1.0,1.0,1.0,1.0,34.0
62,mcginjo01,1905,WS,NY1,NL,26.0,26.0,15.0,26.0,13.0,34.0,1.0,52.0,16.0,1.0,1.0,10.0,18.0,18.0,,1.0,1.0,1.0,1.0,66.0,1.0,9.0,43.0,1.0,1.0
63,planked01,1905,WS,PHA,AL,1.0,50.0,15.0,26.0,26.0,1.0,1.0,52.0,24.0,12.0,1.0,13.0,32.0,25.0,,26.0,21.0,26.0,1.0,72.0,1.0,12.0,43.0,1.0,1.0
64,altroni01,1906,WS,CHA,AL,26.0,26.0,15.0,26.0,26.0,1.0,1.0,55.0,18.0,9.0,1.0,7.0,15.0,20.0,,1.0,21.0,1.0,1.0,66.0,1.0,6.0,100.0,1.0,1.0
65,brownmo01,1906,WS,CHN,NL,26.0,50.0,29.0,38.0,26.0,34.0,1.0,60.0,23.0,31.0,1.0,13.0,35.0,21.0,,1.0,21.0,1.0,1.0,77.0,1.0,26.0,29.0,1.0,1.0
66,overaor01,1906,WS,CHN,NL,1.0,1.0,15.0,1.0,1.0,1.0,1.0,37.0,16.0,9.0,1.0,10.0,24.0,23.0,,1.0,21.0,1.0,1.0,49.0,34.0,6.0,15.0,1.0,1.0
67,owenfr01,1906,WS,CHA,AL,1.0,1.0,1.0,1.0,1.0,1.0,1.0,19.0,10.0,9.0,1.0,10.0,7.0,29.0,,1.0,21.0,1.0,1.0,27.0,18.0,9.0,29.0,1.0,1.0
68,pfiesja01,1906,WS,CHN,NL,1.0,50.0,15.0,13.0,13.0,1.0,1.0,32.0,12.0,28.0,1.0,10.0,32.0,20.0,,1.0,1.0,50.0,1.0,44.0,1.0,20.0,29.0,1.0,1.0
69,reulbed01,1906,WS,CHN,NL,26.0,1.0,15.0,26.0,13.0,1.0,1.0,34.0,10.0,12.0,1.0,26.0,12.0,17.0,,1.0,21.0,26.0,1.0,48.0,1.0,12.0,15.0,1.0,18.0
70,walshed01,1906,WS,CHA,AL,50.0,1.0,15.0,26.0,13.0,34.0,1.0,46.0,12.0,5.0,1.0,20.0,49.0,14.0,,1.0,41.0,26.0,1.0,63.0,1.0,18.0,29.0,1.0,1.0
71,whitedo01,1906,WS,CHA,AL,26.0,26.0,29.0,26.0,13.0,1.0,26.0,46.0,20.0,12.0,1.0,23.0,12.0,23.0,,26.0,1.0,26.0,1.0,65.0,18.0,20.0,29.0,1.0,18.0
72,brownmo01,1907,WS,CHN,NL,26.0,1.0,1.0,13.0,13.0,34.0,1.0,28.0,12.0,1.0,1.0,4.0,12.0,22.0,,1.0,1.0,1.0,1.0,35.0,1.0,1.0,1.0,1.0,1.0
73,donovbi01,1907,WS,DET,AL,1.0,26.0,15.0,26.0,26.0,1.0,1.0,64.0,27.0,16.0,1.0,16.0,46.0,24.0,,1.0,1.0,75.0,1.0,87.0,1.0,26.0,86.0,1.0,1.0
74,killied01,1907,WS,DET,AL,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.0,6.0,5.0,1.0,4.0,4.0,21.0,,1.0,1.0,1.0,1.0,17.0,18.0,4.0,1.0,1.0,1.0
75,mullige01,1907,WS,DET,AL,1.0,50.0,15.0,26.0,26.0,1.0,1.0,52.0,24.0,16.0,1.0,23.0,24.0,25.0,,1.0,1.0,26.0,1.0,72.0,1.0,15.0,29.0,1.0,1.0
76,overaor01,1907,WS,CHN,NL,26.0,1.0,15.0,26.0,13.0,1.0,1.0,55.0,23.0,9.0,1.0,13.0,32.0,22.0,,1.0,1.0,1.0,1.0,73.0,1.0,12.0,43.0,1.0,1.0
77,pfiesja01,1907,WS,CHN,NL,26.0,1.0,1.0,13.0,13.0,1.0,1.0,28.0,16.0,5.0,1.0,4.0,9.0,32.0,,1.0,1.0,26.0,1.0,35.0,1.0,4.0,1.0,1.0,18.0
78,reulbed01,1907,WS,CHN,NL,26.0,1.0,15.0,13.0,13.0,1.0,1.0,37.0,10.0,5.0,1.0,10.0,12.0,15.0,,1.0,1.0,1.0,1.0,46.0,18.0,4.0,1.0,1.0,18.0
79,sieveed01,1907,WS,DET,AL,1.0,26.0,1.0,13.0,1.0,1.0,1.0,13.0,12.0,9.0,1.0,1.0,4.0,40.0,,1.0,1.0,1.0,1.0,20.0,1.0,12.0,15.0,1.0,1.0
80,brownmo01,1908,WS,CHN,NL,50.0,1.0,15.0,13.0,13.0,34.0,1.0,34.0,10.0,1.0,1.0,4.0,15.0,18.0,,1.0,1.0,26.0,1.0,41.0,18.0,4.0,29.0,1.0,18.0
81,donovbi01,1908,WS,DET,AL,1.0,50.0,15.0,26.0,26.0,1.0,1.0,52.0,27.0,31.0,21.0,13.0,29.0,29.0,,1.0,21.0,1.0,1.0,68.0,1.0,23.0,43.0,1.0,18.0
82,killied01,1908,WS,DET,AL,1.0,1.0,1.0,13.0,1.0,1.0,1.0,8.0,9.0,12.0,1.0,10.0,4.0,42.0,,1.0,1.0,1.0,1.0,16.0,1.0,12.0,1.0,1.0,1.0
83,mullige01,1908,WS,DET,AL,26.0,1.0,1.0,13.0,13.0,1.0,1.0,28.0,12.0,1.0,1.0,4.0,24.0,23.0,,1.0,1.0,1.0,1.0,34.0,1.0,9.0,1.0,1.0,34.0
84,overaor01,1908,WS,CHN,NL,50.0,1.0,29.0,26.0,26.0,34.0,1.0,56.0,12.0,9.0,1.0,23.0,43.0,13.0,,1.0,21.0,26.0,1.0,70.0,1.0,6.0,15.0,1.0,18.0
85,pfiesja01,1908,WS,CHN,NL,1.0,26.0,1.0,13.0,1.0,1.0,1.0,25.0,18.0,28.0,1.0,10.0,4.0,35.0,,1.0,1.0,1.0,1.0,38.0,1.0,23.0,15.0,34.0,1.0
86,reulbed01,1908,WS,CHN,NL,1.0,1.0,15.0,13.0,1.0,1.0,1.0,24.0,15.0,16.0,1.0,4.0,15.0,31.0,,1.0,1.0,1.0,1.0,32.0,18.0,12.0,1.0,1.0,1.0
87,summeed01,1908,WS,DET,AL,1.0,50.0,15.0,13.0,1.0,1.0,1.0,45.0,29.0,28.0,1.0,13.0,21.0,33.0,,1.0,1.0,1.0,1.0,67.0,18.0,23.0,72.0,34.0,1.0
