playerID,birthYear,birthMonth,birthDay,birthCountry,birthState,deathYear,deathMonth,deathDay,deathCountry,deathState,weight,height,bats,throws
stephro01,1913.0,10.0,77.0,USA,CA,,,,,,176.0,80.0,R,R
stephtr01,1935.0,91.0,80.0,USA,TX,,,,,,201.0,85.0,R,R
stephty01,1946.0,64.0,50.0,USA,GA,,,,,,201.0,83.0,R,R
stephve01,1106.0,82.0,74.0,USA,NM,1287.0,91.0,11.0,USA,CA,151.0,68.0,R,R
stephwa01,1007.0,19.0,87.0,USA,NC,1621.0,55.0,11.0,USA,LA,145.0,73.0,R,R
sterljo01,,,,,,,,,,,,,,
sterlra01,1449.0,28.0,67.0,USA,FL,,,,,,164.0,78.0,B,R
sternad01,1769.0,10.0,37.0,CAN,ON,,,,,,157.0,70.0,L,R
sterrdu01,763.0,82.0,1.0,USA,PA,1246.0,100.0,24.0,USA,MD,126.0,70.0,R,R
stettmi01,1780.0,1.0,50.0,USA,IN,,,,,,189.0,85.0,L,L
stevean01,1924.0,46.0,1.0,USA,LA,,,,,,159.0,73.0,L,L
stevebo01,962.0,28.0,54.0,USA,MD,1782.0,100.0,97.0,USA,MD,106.0,63.0,L,R
steveca01,1946.0,73.0,37.0,USA,CA,,,,,,139.0,68.0,L,L
stevech01,1084.0,55.0,31.0,USA,NM,1956.0,37.0,90.0,USA,CA,145.0,75.0,B,L
steveda01,1658.0,19.0,11.0,USA,CA,,,,,,182.0,80.0,R,R
steveed01,1161.0,1.0,37.0,USA,TX,1876.0,55.0,70.0,USA,TX,157.0,75.0,L,L
steveje01,1802.0,73.0,14.0,USA,CA,,,,,,176.0,78.0,R,R
steveji01,763.0,64.0,80.0,USA,MD,1260.0,73.0,80.0,USA,MD,145.0,70.0,R,R
stevele01,1625.0,55.0,31.0,USA,MO,,,,,,176.0,83.0,L,L
steverc01,1261.0,55.0,70.0,USA,GA,1849.0,91.0,97.0,USA,IA,194.0,85.0,R,L
stevero01,388.0,1.0,1.0,USA,CA,376.0,91.0,11.0,USA,WA,,,,
steveto01,1670.0,91.0,47.0,USA,CA,,,,,,162.0,78.0,R,R
stewaac01,542.0,10.0,44.0,USA,IN,537.0,28.0,54.0,USA,IN,140.0,68.0,R,R
stewaan01,1658.0,100.0,14.0,CAN,ON,,,,,,176.0,70.0,R,R
