,playerID,yearID,stint,Glf,Gcf,Grf
6634,sislege01,1915,1.0,7.0,9.0,16.0
6635,smithel02,1915,1.0,22.0,1.0,102.0
6636,smithha06,1915,26.0,1.0,1.0,2.0
6637,smithja03,1915,1.0,4.0,2.0,1.0
6638,smythre01,1915,1.0,7.0,3.0,2.0
6639,snodgfr01,1915,1.0,1.0,69.0,6.0
6640,snodgfr01,1915,26.0,1.0,21.0,1.0
6641,southbi01,1915,1.0,11.0,31.0,5.0
6642,speaktr01,1915,1.0,1.0,150.0,1.0
6643,stengca01,1915,1.0,2.0,1.0,128.0
6644,stranla01,1915,1.0,1.0,1.0,3.0
6645,stranpa01,1915,1.0,3.0,2.0,1.0
6646,strunam01,1915,1.0,1.0,60.0,53.0
6647,thompsh01,1915,1.0,1.0,8.0,1.0
6648,thorpji01,1915,1.0,1.0,14.0,3.0
6649,tobinja01,1915,1.0,1.0,32.0,128.0
6650,twombge01,1915,1.0,11.0,14.0,2.0
6651,veachbo01,1915,1.0,152.0,1.0,1.0
6652,vioxji01,1915,1.0,1.0,3.0,1.0
6653,vonkofr01,1915,1.0,1.0,1.0,2.0
6654,wagnehe01,1915,1.0,2.0,1.0,1.0
6655,walkeer01,1915,1.0,4.0,4.0,28.0
6656,walketi01,1915,1.0,2.0,119.0,20.0
6657,walshde01,1915,1.0,1.0,22.0,25.0
6658,walshji02,1915,1.0,30.0,45.0,37.0
6659,watsoar01,1915,26.0,2.0,1.0,1.0
6660,weisebu01,1915,1.0,5.0,17.0,1.0
6661,wheatza01,1915,1.0,144.0,1.0,1.0
6662,whitegi01,1915,1.0,1.0,3.0,27.0
6663,whittpo01,1915,1.0,54.0,67.0,1.0
6664,wicklal01,1915,1.0,6.0,1.0,21.0
6665,wicklal01,1915,26.0,109.0,1.0,2.0
6666,wiliede01,1915,1.0,12.0,25.0,1.0
6667,willicy01,1915,1.0,1.0,149.0,1.0
6668,willigu02,1915,1.0,1.0,1.0,36.0
6669,willike01,1915,1.0,55.0,9.0,1.0
6670,wilsoch01,1915,1.0,4.0,71.0,34.0
6671,wingoiv01,1915,1.0,3.0,1.0,1.0
6672,woodro01,1915,1.0,2.0,1.0,2.0
6673,youngde01,1915,1.0,1.0,2.0,3.0
6674,zimmebi01,1915,1.0,1.0,1.0,19.0
6675,zinngu01,1915,1.0,64.0,18.0,9.0
6676,zwilldu01,1915,1.0,1.0,148.0,1.0
6677,acostme01,1916,1.0,5.0,1.0,1.0
6678,allismi01,1916,1.0,2.0,1.0,5.0
6679,altenje01,1916,1.0,5.0,3.0,1.0
6680,aragoan01,1916,1.0,2.0,1.0,2.0
6681,bailefr01,1916,1.0,2.0,1.0,1.0
6682,bairddo01,1916,1.0,11.0,6.0,2.0
6683,barbetu01,1916,1.0,7.0,1.0,5.0
6684,barneed01,1916,1.0,21.0,21.0,1.0
6685,baumapa01,1916,1.0,13.0,2.0,16.0
6686,bealljo01,1916,1.0,6.0,1.0,1.0
6687,beschbo01,1916,1.0,151.0,3.0,2.0
6688,betzebr01,1916,1.0,2.0,3.0,5.0
6689,bigbeca01,1916,1.0,20.0,1.0,1.0
6690,brottto01,1916,1.0,1.0,2.0,2.0
6691,brownji02,1916,1.0,1.0,7.0,7.0
6692,burnsed01,1916,1.0,1.0,2.0,1.0
6693,burnsge01,1916,1.0,155.0,1.0,1.0
6694,butlear01,1916,1.0,3.0,10.0,5.0
6695,caldwra02,1916,1.0,1.0,1.0,1.0
6696,careyma01,1916,1.0,22.0,134.0,1.0
6697,chappla01,1916,26.0,13.0,1.0,3.0
6698,chaseha01,1916,1.0,15.0,15.0,1.0
6699,cobbty01,1916,1.0,1.0,143.0,1.0
6700,collish01,1916,1.0,24.0,3.0,112.0
